m,mbs,tp,pp,dp,dp method,overlap_comm,node placement,partition,estimated time (s/step),pipeline time,DP all-reduce time,Emb layer all-reduce time,is_oom,gpumem,train_cost,price_per_step,exp_partition,A6000,rank,real_rank
16,1,1,16,4,zero0,False,"['A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000']","[4, 3, 2, 3, 3, 3, 3, 3, 3, 2, 2, 2, 2, 2, 2, 3]",12.918035507202148,12.657588230718124,0.17306576669216156,0.08738133311271667,True,110.33949279785156,11626320.947393203,0.9301056757914563,3-3-2-3-3-3-3-3-3-2-2-2-2-2-2-2,16,35,0
16,1,1,16,4,zero1,False,"['A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000']","[4, 3, 2, 3, 3, 3, 3, 3, 3, 2, 2, 2, 2, 2, 2, 3]",12.918035507202148,12.657588230718124,0.17306576669216156,0.08738133311271667,True,100.20123291015625,11626320.947393203,0.9301056757914563,3-3-2-3-3-3-3-3-3-2-2-2-2-2-2-2,16,35,0
32,1,4,8,2,zero1,False,"['A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000']","[6, 5, 5, 5, 5, 5, 5, 6]",13.203681945800781,13.118481631998092,0.0742775946855545,0.010922666639089584,False,32.77638626098633,11883404.709918551,0.950672376793484,5-5-5-5-5-5-5-5,16,37,6
32,1,4,8,2,zero0,False,"['A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000']","[6, 5, 5, 5, 5, 5, 5, 6]",13.203681945800781,13.118481631998092,0.0742775946855545,0.010922666639089584,False,35.143341064453125,11883404.709918551,0.950672376793484,5-5-5-5-5-5-5-5,16,37,6
32,1,2,16,2,zero0,False,"['A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000']","[3, 3, 2, 3, 3, 3, 3, 3, 3, 3, 2, 2, 2, 2, 2, 3]",13.404807090759277,13.333125340418125,0.04983683302998543,0.02184533327817917,True,57.88148880004883,12064418.725909973,0.9651534980727978,2-3-2-3-3-3-3-3-3-3-2-2-2-2-2-2,16,39,0
32,1,2,16,2,zero1,False,"['A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000']","[3, 3, 2, 3, 3, 3, 3, 3, 3, 3, 2, 2, 2, 2, 2, 3]",13.404807090759277,13.333125340418125,0.04983683302998543,0.02184533327817917,True,55.34345626831055,12064418.725909973,0.9651534980727978,2-3-2-3-3-3-3-3-3-3-2-2-2-2-2-2,16,39,0
1,1,1,1,64,zero3,False,"['A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000']",[42],13.51344108581543,10.167201042175293,3.3462398052215576,0.0,True,59.5451545715332,12162190.069828032,0.9729752055862425,41-41,16,41,0
4,2,4,2,8,zero1,False,"['A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000']","[21, 21]",13.793041229248047,13.365940975124962,0.4052552580833435,0.02184533327817917,True,57.482032775878906,12413832.125051709,0.9931065700041367,20-20,16,42,0
4,2,4,2,8,zero0,False,"['A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000']","[21, 21]",13.793041229248047,13.365940975124962,0.4052552580833435,0.02184533327817917,True,74.90703582763672,12413832.125051709,0.9931065700041367,20-20,16,42,0
2,2,2,2,16,zero1,False,"['A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000', 'A6000']","[21, 21]",13.942827224731445,13.071692888434974,0.8274440765380859,0.04369066655635834,True,90.57447814941406,12548640.552845847,1.0038912442276677,20-20,16,44,0
